payment_id,order_id,payment_date,payment_method,amount
1,137195,2022-12-23,Card,1062.58
2,137487,2022-06-04,UPI,2548.29
3,131791,2023-06-26,Card,864.59
4,160088,2021-10-07,Wallet,860.72
5,156736,2022-12-30,Card,1641.25
6,196879,2023-08-31,UPI,2702.64
7,100200,2021-09-28,Wallet,1886.25
8,131163,2022-07-04,Wallet,2375.53
9,101817,2022-10-11,NetBanking,2490.43
10,139253,2023-11-03,UPI,2802.39
11,148827,2021-10-26,Wallet,923.72
12,134560,2024-01-07,UPI,2615.4
13,168366,2022-09-03,Card,2145.62
14,188359,2021-04-26,Wallet,2589.33
15,136080,2021-03-26,Cash,2816.22
16,103160,2022-10-14,Card,384.8
17,104503,2023-05-07,Cash,882.26
18,156294,2022-03-06,UPI,1687.9
19,123711,2022-06-16,UPI,995.63
20,104662,2023-04-04,Card,2130.81
21,117178,2021-04-28,Card,1056.46
22,149296,2022-12-01,Card,638.2
23,150082,2023-09-10,Card,2681.63
24,153014,2022-11-03,NetBanking,1771.72
25,125266,2023-06-09,Card,2149.08
26,172864,2023-02-11,Card,1048.02
27,116031,2023-07-25,Card,2749.85
28,161660,2022-11-29,UPI,1736.54
29,156625,2022-04-11,Card,135.68
30,112483,2023-09-29,NetBanking,1209.77
31,191545,2021-12-03,Card,825.94
32,198645,2021-02-10,Card,1335.75
33,138157,2023-01-02,Card,2929.29
34,150542,2022-02-17,Wallet,554.65
35,199230,2023-04-23,UPI,1962.47
36,114351,2023-03-26,NetBanking,995.85
37,144829,2023-10-31,UPI,74.65
38,192699,2022-12-09,Card,281.95
39,185998,2021-10-16,NetBanking,2356.46
40,131713,2021-06-08,Card,758.96
41,114880,2023-01-17,Card,2252.34
42,187394,2021-11-21,Card,2325.49
43,189264,2022-02-24,NetBanking,1289.27
44,158533,2023-02-16,NetBanking,1491.1
45,171164,2021-09-14,Cash,1657.08
46,156796,2022-06-14,Card,1653.94
47,109560,2023-02-25,Card,1937.71
48,165079,2023-04-07,Card,35.67
49,172585,2021-05-05,Card,2333.11
50,197900,2022-02-12,Card,2146.04
51,159502,2021-03-19,Card,1074.11
52,118602,2022-08-17,Card,1463.36
53,125315,2023-07-30,Card,2824.61
54,114606,2021-05-30,Card,1063.15
55,120771,2023-02-28,Card,1356.79
56,185022,2023-08-01,Card,1206.53
57,128507,2022-10-04,Card,559.99
58,141844,2023-12-28,UPI,980.42
59,116093,2022-10-30,Card,1030.07
60,167448,2023-08-06,Card,238.39
61,170342,2023-06-05,Card,1125.84
62,133862,2023-06-01,NetBanking,1103.47
63,137705,2022-12-22,UPI,2623.33
64,102065,2023-09-20,Card,2070.0
65,152027,2021-10-06,NetBanking,580.29
66,194635,2021-06-28,Card,2167.02
67,148129,2021-04-03,Card,2633.21
68,159322,2022-07-24,Card,644.17
69,141598,2022-07-20,UPI,1799.8
70,151477,2022-03-02,Card,881.54
71,188163,2021-01-03,Card,342.94
72,199654,2023-11-04,NetBanking,1734.89
73,141257,2023-05-21,Card,2974.51
74,153405,2023-10-01,Card,2332.02
75,165441,2022-02-22,Card,1225.42
76,156336,2021-09-29,NetBanking,320.29
77,138312,2021-04-14,UPI,1939.01
78,139877,2021-08-19,Wallet,1232.02
79,152595,2023-04-16,Card,2686.67
80,136380,2022-11-21,Card,589.11
81,178505,2021-08-23,UPI,1975.63
82,168213,2023-09-20,Card,704.5
83,143211,2023-08-22,Card,428.24
84,120908,2022-07-20,Card,2711.38
85,140583,2021-02-08,UPI,1098.72
86,160796,2021-09-09,UPI,1768.88
87,117931,2023-01-17,Card,266.55
88,121740,2023-09-07,NetBanking,482.82
89,191184,2022-09-11,UPI,2932.3
90,144829,2021-02-06,Wallet,1392.2
91,199915,2022-05-21,UPI,879.3
92,138537,2023-08-31,Card,445.87
93,145014,2021-04-11,Wallet,2231.71
94,198736,2021-02-04,Wallet,1071.05
95,171868,2023-03-28,Card,2594.03
96,151029,2021-07-01,UPI,2041.67
97,166865,2022-03-11,UPI,1368.82
98,117522,2023-05-29,UPI,2683.38
99,165706,2022-12-06,Card,1761.98
100,165029,2023-06-19,UPI,967.83
101,110152,2021-04-30,NetBanking,1389.69
102,161821,2021-09-04,Card,1155.55
103,150140,2021-07-12,Card,1997.36
104,197101,2022-04-23,Card,632.98
105,162600,2022-06-30,Card,2662.57
106,126287,2022-03-17,UPI,1100.86
107,186899,2023-10-30,UPI,2357.5
108,179568,2021-05-21,Card,2073.29
109,111787,2021-09-25,UPI,2317.02
110,181280,2022-12-14,Card,2750.27
111,155456,2021-06-07,Card,219.92
112,141697,2022-03-11,NetBanking,1678.02
113,158875,2022-08-23,Card,1635.61
114,110300,2023-08-11,NetBanking,1117.1
115,167951,2021-09-10,NetBanking,2713.42
116,162529,2021-07-10,Wallet,163.32
117,176718,2022-06-12,Wallet,2389.9
118,142398,2023-10-25,UPI,1795.77
119,185308,2022-08-29,UPI,1141.21
120,121942,2021-10-03,Wallet,390.72
121,115383,2022-08-25,Card,2692.34
122,193577,2022-04-26,Card,601.71
123,137065,2022-05-03,Card,1398.19
124,165146,2022-11-07,NetBanking,1260.77
125,168918,2024-01-10,Card,172.97
126,195139,2023-12-11,NetBanking,840.84
127,180836,2021-08-14,Cash,579.03
128,115980,2023-07-10,UPI,1616.81
129,133378,2024-01-31,Card,116.96
130,110523,2021-05-13,NetBanking,800.76
131,142201,2021-03-16,Card,2960.12
132,116603,2023-09-01,UPI,1675.17
133,133618,2022-12-29,Cash,206.93
134,154584,2024-01-20,Card,1600.47
135,134164,2022-11-07,Card,1191.77
136,185966,2023-10-10,Card,582.75
137,114591,2021-10-23,UPI,1305.48
138,100283,2023-01-25,Cash,2406.4
139,126706,2023-05-30,NetBanking,427.2
140,147059,2023-08-16,Card,205.73
141,173699,2021-10-22,Card,2756.47
142,185683,2021-09-19,UPI,2528.18
143,106905,2021-02-26,Card,2718.08
144,153204,2023-10-03,Card,2489.83
145,182791,2023-11-09,Card,1414.34
146,134210,2022-10-06,Card,2618.78
147,177797,2023-04-22,Card,2446.54
148,186146,2022-05-24,Card,895.3
149,163611,2021-06-21,Card,168.62
150,166005,2022-01-03,Card,21.1
151,198090,2022-02-16,UPI,2825.28
152,180765,2021-10-08,Card,2808.27
153,141732,2022-08-29,Card,1768.18
154,132264,2021-05-11,NetBanking,1749.96
155,162005,2022-04-05,Card,882.3
156,154174,2022-01-27,Card,1889.03
157,188545,2022-06-02,NetBanking,1592.28
158,164866,2022-07-04,UPI,578.23
159,129108,2022-11-29,NetBanking,463.73
160,152073,2022-08-08,Card,231.1
161,161492,2022-05-20,Card,2312.23
162,171673,2021-09-14,UPI,1813.41
163,127396,2022-08-19,UPI,524.67
164,123915,2023-08-04,Card,2316.59
165,156951,2022-08-11,Card,2604.02
166,188719,2021-10-31,Card,1607.19
167,189627,2023-10-18,Card,397.76
168,150276,2022-07-20,Card,1302.06
169,164599,2023-05-12,UPI,375.71
170,166192,2022-02-11,Card,2807.4
171,193025,2023-09-24,Card,2575.2
172,185707,2023-06-09,Card,2135.27
173,176969,2022-07-30,Wallet,2058.14
174,153536,2022-11-28,UPI,2716.34
175,198732,2023-05-18,Card,863.13
176,185077,2022-02-16,NetBanking,170.92
177,139595,2022-06-13,Card,689.44
178,151330,2022-12-19,Cash,149.38
179,151038,2023-04-07,Cash,831.8
180,161319,2023-08-07,Card,2905.55
181,113447,2023-11-16,NetBanking,1719.28
182,197347,2021-09-29,UPI,1019.84
183,165613,2021-12-30,UPI,2639.22
184,160088,2022-07-14,NetBanking,729.51
185,168557,2023-05-28,NetBanking,1943.88
186,136646,2022-10-05,NetBanking,672.93
187,188167,2021-10-07,Wallet,2958.5
188,152440,2021-01-05,NetBanking,1818.94
189,136229,2021-12-30,NetBanking,1575.0
190,143525,2022-08-01,Cash,1704.47
191,114256,2022-01-28,NetBanking,1107.41
192,121600,2022-07-07,NetBanking,1145.67
193,106474,2022-08-14,Card,2036.0
194,156093,2021-08-28,UPI,2764.75
195,156081,2023-11-13,Card,1908.86
196,108670,2023-05-26,NetBanking,2315.43
197,118515,2022-11-21,UPI,2307.1
198,194551,2022-02-09,Card,410.62
199,143525,2021-07-01,Wallet,2929.2
200,160276,2022-03-07,Card,2280.63
201,128484,2021-09-15,NetBanking,2523.52
202,101473,2021-05-02,Cash,2990.72
203,161075,2022-12-16,NetBanking,525.69
204,130553,2023-06-12,Wallet,1520.51
205,174740,2021-06-25,Wallet,1674.83
206,182611,2022-06-26,Card,845.55
207,129565,2024-01-27,UPI,2752.5
208,195933,2022-08-01,Wallet,799.16
209,165029,2023-08-29,Wallet,1167.2
210,117636,2021-02-07,NetBanking,393.94
211,173931,2023-01-29,Card,293.3
212,162417,2022-11-28,Card,809.2
213,114803,2021-12-11,Card,1845.46
214,180155,2023-01-10,Wallet,2097.48
215,175067,2021-01-15,NetBanking,641.95
216,138963,2023-09-02,Card,1705.97
217,140887,2021-02-18,Wallet,2434.29
218,114282,2023-01-22,Card,1115.73
219,102914,2022-12-08,Card,113.31
220,168475,2022-10-04,Card,1271.66
221,161496,2022-11-07,NetBanking,2529.44
222,175715,2021-04-25,Wallet,1523.14
223,125406,2022-08-08,Card,1900.02
224,184110,2021-11-21,UPI,1683.67
225,138948,2022-01-03,Card,237.05
226,164183,2021-04-29,Card,256.99
227,106952,2023-04-29,UPI,1554.44
228,170796,2021-11-26,Card,54.28
229,102341,2023-12-14,Card,1050.67
230,110455,2022-12-30,Card,932.42
231,139212,2022-08-07,Cash,794.77
232,132768,2023-05-29,UPI,2482.99
233,140624,2021-07-03,NetBanking,2054.87
234,168094,2024-01-15,NetBanking,1979.13
235,162490,2021-01-05,Card,999.52
236,131401,2021-04-28,Card,1512.54
237,135852,2022-05-05,Card,2284.76
238,156804,2022-06-30,Card,136.49
239,170288,2023-09-19,NetBanking,1311.09
240,127342,2022-08-12,Card,2634.23
241,170145,2023-10-18,Card,1567.01
242,137560,2021-05-10,NetBanking,422.82
243,183294,2021-05-23,UPI,1047.83
244,152902,2023-07-26,Wallet,1919.12
245,187404,2022-02-25,NetBanking,2625.65
246,148660,2023-01-11,Card,1537.88
247,122299,2022-06-06,Cash,2670.83
248,184728,2023-10-01,UPI,2783.27
249,131712,2021-04-08,NetBanking,1627.37
250,190150,2023-12-10,Card,752.94
251,118716,2022-10-02,Card,2178.98
252,102899,2022-09-19,Wallet,879.1
253,131746,2023-09-12,UPI,1789.76
254,165619,2023-09-10,Card,1008.87
255,195199,2022-02-22,UPI,675.55
256,123721,2021-12-21,Cash,1106.53
257,126950,2021-01-24,Cash,518.03
258,109316,2022-08-15,Card,188.27
259,112837,2023-09-08,Card,2526.75
260,165267,2021-03-22,UPI,1492.84
261,154901,2021-04-06,UPI,362.75
262,132527,2021-08-13,Card,509.04
