product_id,product_name,category,brand,list_price
5001,Purpose 0,Grocery,BrandG,2059.76
5002,Brother 1,Sports,BrandF,117.81
5003,Ago 2,Beauty,BrandD,447.1
5004,Site 3,Grocery,BrandB,1595.37
5005,Face 4,Clothing,BrandE,127.93
5006,Election 5,Beauty,BrandD,134.89
5007,Dog 6,Beauty,BrandG,4587.19
5008,Chair 7,Grocery,BrandF,3545.48
5009,Since 8,Home,BrandE,1579.33
5010,Blue 9,Clothing,BrandC,706.59
5011,Require 10,Grocery,BrandF,2582.6
5012,Sit 11,Clothing,BrandB,76.46
5013,Wait 12,Clothing,BrandD,4695.15
5014,Offer 13,Beauty,BrandG,2103.33
5015,Begin 14,Sports,BrandC,2041.56
5016,Performance 15,Clothing,BrandG,1983.44
5017,Knowledge 16,Toys,BrandC,393.18
5018,Almost 17,Beauty,BrandE,3209.7
5019,All 18,Home,BrandC,3678.37
5020,Better 19,Sports,BrandB,3396.82
5021,Discover 20,Toys,BrandB,735.26
5022,Early 21,Toys,BrandA,2915.26
5023,Mouth 22,Home,BrandB,2868.95
5024,Play 23,Sports,BrandF,4348.63
5025,Agreement 24,Beauty,BrandC,1926.68
5026,Option 25,Electronics,BrandB,1888.86
5027,Decide 26,Sports,BrandE,3111.71
5028,Sense 27,Home,BrandG,3183.71
5029,Rate 28,Toys,BrandG,2372.96
5030,Science 29,Beauty,BrandA,2243.14
5031,Offer 30,Sports,BrandG,2496.03
5032,Kind 31,Electronics,BrandC,4312.17
5033,Discussion 32,Electronics,BrandA,2332.78
5034,List 33,Clothing,BrandC,4702.66
5035,Perform 34,Clothing,BrandE,2544.82
5036,Fall 35,Grocery,BrandA,4748.54
5037,Table 36,Home,BrandD,4172.52
5038,True 37,Sports,BrandF,1844.04
5039,According 38,Sports,BrandF,4325.03
5040,Song 39,Grocery,BrandC,594.81
5041,Sure 40,Toys,BrandG,4628.98
5042,Collection 41,Toys,BrandD,3176.64
5043,Save 42,Grocery,BrandA,319.23
5044,Knowledge 43,Toys,BrandD,3239.07
5045,Grow 44,Clothing,BrandD,4872.53
5046,Fall 45,Sports,BrandG,395.51
5047,Clearly 46,Grocery,BrandA,2795.7
5048,Dinner 47,Sports,BrandE,3751.58
5049,Source 48,Electronics,BrandG,4060.78
5050,Great 49,Clothing,BrandD,2098.45
5051,Blue 50,Beauty,BrandD,1060.62
5052,Best 51,Clothing,BrandE,259.59
5053,Husband 52,Grocery,BrandD,2919.64
5054,Bill 53,Beauty,BrandD,2291.91
5055,Her 54,Electronics,BrandD,4746.28
5056,Throw 55,Grocery,BrandF,349.99
5057,Guy 56,Home,BrandG,3442.71
5058,Pm 57,Sports,BrandB,173.58
5059,Everything 58,Electronics,BrandG,898.6
5060,Surface 59,Sports,BrandE,2295.22
5061,Animal 60,Toys,BrandD,2301.62
5062,Show 61,Home,BrandG,3444.22
5063,Machine 62,Home,BrandF,4555.55
5064,Not 63,Electronics,BrandE,3213.21
5065,Capital 64,Home,BrandC,4770.0
5066,Win 65,Beauty,BrandG,4414.0
5067,Human 66,Home,BrandC,2943.27
5068,Bar 67,Sports,BrandD,4177.27
5069,Old 68,Sports,BrandF,3230.76
5070,Finally 69,Grocery,BrandF,438.86
5071,Themselves 70,Sports,BrandG,3715.8
5072,Production 71,Grocery,BrandE,519.8
5073,Present 72,Sports,BrandE,2990.71
5074,Value 73,Beauty,BrandF,3528.07
5075,Training 74,Grocery,BrandE,379.31
5076,High 75,Clothing,BrandF,1192.43
5077,Participant 76,Toys,BrandG,4582.58
5078,Dark 77,Electronics,BrandB,3100.76
5079,Sea 78,Sports,BrandF,1269.12
5080,Available 79,Home,BrandC,3468.86
5081,Answer 80,Sports,BrandE,3004.04
5082,Recently 81,Home,BrandF,2532.8
5083,Drive 82,Toys,BrandF,4882.13
5084,Spring 83,Toys,BrandG,3433.1
5085,Figure 84,Toys,BrandE,1908.43
5086,Base 85,Home,BrandB,4010.36
5087,Top 86,Sports,BrandG,4428.69
5088,Early 87,Toys,BrandB,669.84
5089,Trial 88,Beauty,BrandG,1042.74
5090,Blood 89,Grocery,BrandE,1120.32
5091,Husband 90,Home,BrandA,3471.5
5092,Fall 91,Home,BrandE,3035.05
5093,Long 92,Sports,BrandE,3114.01
5094,Prove 93,Home,BrandB,4706.83
5095,They 94,Home,BrandB,3890.76
5096,His 95,Toys,BrandE,683.29
5097,Commercial 96,Sports,BrandE,1770.16
5098,Hospital 97,Toys,BrandE,2205.2
5099,Hear 98,Grocery,BrandB,2010.01
5100,Determine 99,Grocery,BrandE,3363.08
5101,Religious 100,Toys,BrandE,4464.87
5102,Example 101,Grocery,BrandD,1564.95
5103,Science 102,Sports,BrandA,2781.79
5104,Write 103,Electronics,BrandC,3957.58
5105,Result 104,Toys,BrandA,2110.28
5106,Raise 105,Beauty,BrandD,882.18
5107,Away 106,Beauty,BrandC,2401.01
5108,Politics 107,Home,BrandG,323.35
5109,Prove 108,Grocery,BrandE,4714.8
5110,Congress 109,Beauty,BrandD,420.36
5111,None 110,Home,BrandG,2220.36
5112,Shoulder 111,Electronics,BrandE,2672.91
5113,Election 112,Sports,BrandB,4927.25
5114,Common 113,Sports,BrandF,871.81
5115,Maintain 114,Sports,BrandD,616.44
5116,Hundred 115,Beauty,BrandB,93.1
5117,Expect 116,Electronics,BrandD,820.08
5118,Wish 117,Beauty,BrandD,1076.0
5119,Push 118,Grocery,BrandB,3171.38
5120,Rise 119,Beauty,BrandC,1137.55
5121,Onto 120,Electronics,BrandA,151.58
5122,Discuss 121,Electronics,BrandE,4141.76
5123,Reveal 122,Grocery,BrandD,1859.7
5124,Garden 123,Electronics,BrandE,1800.8
5125,Threat 124,Electronics,BrandF,1547.27
5126,Special 125,Sports,BrandB,4878.1
5127,Stand 126,Grocery,BrandE,892.07
5128,Arrive 127,Clothing,BrandB,4496.28
5129,Drop 128,Clothing,BrandE,3895.18
5130,Term 129,Electronics,BrandA,428.58
5131,Almost 130,Clothing,BrandA,4934.31
5132,Support 131,Clothing,BrandA,1393.26
5133,Four 132,Electronics,BrandA,537.99
5134,Institution 133,Clothing,BrandA,4155.11
5135,Executive 134,Beauty,BrandA,3548.04
5136,Attorney 135,Home,BrandB,3105.23
5137,Development 136,Grocery,BrandD,822.11
5138,White 137,Home,BrandE,2418.56
5139,Yes 138,Electronics,BrandA,3913.75
5140,Our 139,Sports,BrandB,1552.94
5141,Under 140,Grocery,BrandB,1592.86
5142,Serious 141,Electronics,BrandB,65.55
5143,Forward 142,Sports,BrandD,912.5
5144,Difference 143,Home,BrandE,4383.26
5145,Reality 144,Electronics,BrandD,2236.65
5146,Money 145,Grocery,BrandC,4921.96
5147,Individual 146,Grocery,BrandG,2008.75
5148,Usually 147,Toys,BrandB,3590.17
5149,Who 148,Beauty,BrandC,1445.5
5150,Question 149,Clothing,BrandF,1850.86
5151,Low 150,Sports,BrandA,994.09
5152,Character 151,Toys,BrandG,1767.96
5153,Evidence 152,Clothing,BrandA,2758.83
5154,Chair 153,Clothing,BrandD,4959.28
5155,Employee 154,Electronics,BrandG,3337.8
5156,Size 155,Clothing,BrandE,1036.27
5157,Option 156,Beauty,BrandC,272.56
5158,Nothing 157,Grocery,BrandE,675.46
5159,Everyone 158,Toys,BrandD,2834.65
5160,Skin 159,Clothing,BrandA,3837.54
5161,Pattern 160,Electronics,BrandG,4705.08
5162,Later 161,Beauty,BrandE,128.32
5163,Water 162,Home,BrandE,2637.66
5164,Past 163,Grocery,BrandA,2380.79
5165,Inside 164,Grocery,BrandG,3297.47
5166,High 165,Toys,BrandC,2819.92
5167,Discuss 166,Grocery,BrandA,3450.84
5168,Certainly 167,Clothing,BrandE,3307.51
5169,Mr 168,Electronics,BrandC,629.21
5170,Minute 169,Grocery,BrandC,4008.6
5171,Benefit 170,Grocery,BrandA,660.0
5172,Someone 171,Home,BrandE,3507.73
5173,Anyone 172,Home,BrandD,2109.92
5174,Traditional 173,Sports,BrandE,2593.56
5175,Break 174,Beauty,BrandB,4521.33
5176,Claim 175,Clothing,BrandG,4454.92
5177,Product 176,Grocery,BrandF,4098.39
5178,Collection 177,Grocery,BrandD,2575.23
5179,Structure 178,Electronics,BrandC,3694.39
5180,Response 179,Sports,BrandD,2588.84
5181,Knowledge 180,Beauty,BrandG,4354.55
5182,Pick 181,Sports,BrandC,2043.74
5183,Attack 182,Toys,BrandG,4852.66
5184,Image 183,Beauty,BrandC,4665.0
5185,I 184,Grocery,BrandD,3720.93
5186,Pick 185,Grocery,BrandC,1433.11
5187,Management 186,Beauty,BrandC,701.69
5188,Newspaper 187,Grocery,BrandB,4280.78
5189,Enter 188,Clothing,BrandE,868.25
5190,On 189,Beauty,BrandE,4278.59
5191,Traditional 190,Sports,BrandF,2479.29
5192,Yes 191,Beauty,BrandF,2062.46
5193,Activity 192,Grocery,BrandB,4520.79
5194,Response 193,Clothing,BrandF,3039.06
5195,Set 194,Clothing,BrandG,2904.24
5196,Building 195,Toys,BrandD,2815.89
5197,Rest 196,Sports,BrandA,1887.29
5198,Value 197,Home,BrandG,3938.93
5199,Not 198,Home,BrandA,1301.35
5200,Social 199,Beauty,BrandA,4697.53
5201,Example 200,Toys,BrandB,4475.23
5202,Specific 201,Electronics,BrandG,1720.53
5203,Put 202,Beauty,BrandB,3660.85
5204,Grow 203,Toys,BrandC,2887.45
5205,Brother 204,Sports,BrandA,1721.36
5206,Finally 205,Sports,BrandD,4943.18
5207,Learn 206,Sports,BrandF,174.92
5208,Coach 207,Sports,BrandD,1300.6
5209,Long 208,Sports,BrandF,2624.37
5210,About 209,Toys,BrandA,2633.67
5211,Seven 210,Toys,BrandA,2965.22
5212,Type 211,Clothing,BrandA,3770.8
5213,Serve 212,Home,BrandB,3136.22
5214,Everyone 213,Grocery,BrandG,3021.39
5215,Month 214,Sports,BrandF,314.9
5216,Sound 215,Electronics,BrandG,1913.82
5217,Could 216,Grocery,BrandB,1198.68
5218,Movement 217,Toys,BrandB,1363.58
5219,While 218,Electronics,BrandE,2793.97
5220,Born 219,Electronics,BrandD,1037.55
5221,Truth 220,Electronics,BrandD,1505.05
5222,Process 221,Clothing,BrandC,1223.57
5223,Fire 222,Toys,BrandB,4745.09
5224,Thought 223,Electronics,BrandF,4726.1
5225,Purpose 224,Sports,BrandE,3069.21
5226,Movement 225,Beauty,BrandE,4626.39
5227,Politics 226,Electronics,BrandG,3939.77
5228,Decide 227,Clothing,BrandD,2970.24
5229,Claim 228,Grocery,BrandB,81.85
5230,Hour 229,Toys,BrandC,3873.96
5231,Sound 230,Clothing,BrandB,3527.32
5232,Color 231,Electronics,BrandG,3095.51
5233,Notice 232,Toys,BrandA,3814.1
5234,Start 233,Beauty,BrandB,2588.96
5235,Win 234,Electronics,BrandG,3535.21
5236,Nice 235,Clothing,BrandA,4679.1
5237,Why 236,Home,BrandA,1910.23
5238,A 237,Sports,BrandC,3555.2
5239,Place 238,Grocery,BrandF,2404.65
5240,Game 239,Clothing,BrandD,3388.28
5241,Middle 240,Toys,BrandB,3826.32
5242,After 241,Electronics,BrandA,274.99
5243,Brother 242,Sports,BrandB,3250.67
5244,Woman 243,Electronics,BrandF,1172.37
5245,Him 244,Toys,BrandD,3366.66
5246,Unit 245,Electronics,BrandF,2368.23
5247,Theory 246,Home,BrandD,3879.09
5248,Surface 247,Sports,BrandE,660.83
5249,Food 248,Sports,BrandD,3150.3
5250,Education 249,Toys,BrandC,1428.43
5251,Article 250,Grocery,BrandF,4272.26
5252,Effect 251,Home,BrandA,4645.5
5253,Unit 252,Clothing,BrandE,4982.17
5254,Our 253,Electronics,BrandC,3990.24
5255,Your 254,Beauty,BrandB,3780.98
5256,Bar 255,Electronics,BrandF,1116.73
5257,Bed 256,Electronics,BrandG,1713.23
5258,Sign 257,Clothing,BrandG,2355.13
5259,Mention 258,Electronics,BrandA,3878.24
5260,Team 259,Home,BrandD,4579.08
5261,Authority 260,Home,BrandA,986.24
5262,Soon 261,Sports,BrandG,4615.72
5263,No 262,Toys,BrandB,3493.34
5264,Space 263,Grocery,BrandE,3073.32
5265,Car 264,Beauty,BrandE,1039.21
5266,Career 265,Electronics,BrandF,324.85
5267,Receive 266,Electronics,BrandE,2863.9
5268,May 267,Clothing,BrandF,3275.0
5269,Your 268,Toys,BrandF,1093.37
5270,Often 269,Home,BrandF,2804.46
5271,Company 270,Beauty,BrandG,4289.64
5272,Evidence 271,Sports,BrandG,4183.58
5273,News 272,Home,BrandD,4640.41
5274,Turn 273,Toys,BrandC,1861.13
5275,Policy 274,Grocery,BrandF,1624.35
5276,Land 275,Sports,BrandF,3759.66
5277,Development 276,Grocery,BrandC,2184.01
5278,Woman 277,Clothing,BrandA,483.37
5279,Notice 278,Clothing,BrandF,1449.87
5280,Someone 279,Electronics,BrandD,2121.98
5281,Show 280,Grocery,BrandE,1497.96
5282,Road 281,Toys,BrandE,1694.42
5283,Deep 282,Beauty,BrandB,1504.19
5284,Sell 283,Sports,BrandB,255.42
5285,Forget 284,Home,BrandE,3203.62
5286,Inside 285,Toys,BrandE,3006.6
5287,Remain 286,Toys,BrandG,3284.25
5288,Rate 287,Clothing,BrandD,1001.93
5289,Hour 288,Grocery,BrandC,1513.49
5290,Left 289,Electronics,BrandB,3117.1
5291,We 290,Electronics,BrandG,3018.16
5292,Nation 291,Sports,BrandG,2556.34
5293,Live 292,Clothing,BrandC,1784.55
5294,Camera 293,Toys,BrandG,4569.01
5295,End 294,Beauty,BrandD,1731.86
5296,Down 295,Clothing,BrandE,2305.31
5297,Attack 296,Sports,BrandF,3406.66
5298,Ground 297,Sports,BrandC,2737.96
5299,Against 298,Clothing,BrandE,1767.09
5300,Per 299,Sports,BrandE,2206.44
5301,Once 300,Clothing,BrandA,3982.68
5302,Drug 301,Home,BrandC,1426.74
5303,Per 302,Clothing,BrandG,754.16
5304,Discussion 303,Grocery,BrandF,1600.16
5305,Account 304,Clothing,BrandC,4255.19
5306,Avoid 305,Sports,BrandG,490.5
5307,Second 306,Grocery,BrandE,4958.9
5308,Program 307,Sports,BrandF,2727.96
5309,Artist 308,Electronics,BrandG,4924.99
5310,Drop 309,Electronics,BrandD,4698.03
5311,Author 310,Grocery,BrandG,2291.43
5312,Western 311,Home,BrandA,1032.53
5313,Almost 312,Electronics,BrandE,866.18
5314,Trade 313,Clothing,BrandG,1237.95
5315,Give 314,Sports,BrandB,3565.16
5316,Avoid 315,Electronics,BrandB,1401.1
5317,My 316,Electronics,BrandA,1740.06
5318,Economy 317,Home,BrandD,2271.46
5319,Family 318,Grocery,BrandE,4570.5
5320,Relationship 319,Grocery,BrandC,987.5
5321,Mention 320,Toys,BrandA,74.88
5322,Difficult 321,Home,BrandD,347.48
5323,Notice 322,Clothing,BrandC,4528.59
5324,Cause 323,Grocery,BrandB,3255.21
5325,Several 324,Sports,BrandB,1401.55
5326,Worry 325,Home,BrandC,927.1
5327,Us 326,Electronics,BrandA,1506.62
5328,Own 327,Sports,BrandB,618.24
5329,Part 328,Sports,BrandE,4710.59
5330,Material 329,Electronics,BrandF,3931.82
5331,Eight 330,Home,BrandG,2338.84
5332,Still 331,Electronics,BrandC,4331.56
5333,Material 332,Toys,BrandC,1284.82
5334,Surface 333,Sports,BrandB,3599.75
5335,Investment 334,Beauty,BrandA,4287.86
5336,Customer 335,Beauty,BrandE,1816.01
5337,Between 336,Clothing,BrandA,3799.45
5338,Bill 337,Grocery,BrandD,1510.61
5339,Reason 338,Electronics,BrandD,1529.34
5340,Lawyer 339,Electronics,BrandF,579.93
5341,Health 340,Clothing,BrandB,2228.29
5342,Land 341,Clothing,BrandB,3662.07
5343,Item 342,Clothing,BrandB,4704.09
5344,Manage 343,Sports,BrandF,3038.8
5345,Treat 344,Toys,BrandD,4322.52
5346,Shoulder 345,Electronics,BrandA,4121.35
5347,Arm 346,Sports,BrandF,908.05
5348,Report 347,Clothing,BrandF,2454.8
5349,Ready 348,Electronics,BrandA,628.77
5350,Race 349,Sports,BrandB,3426.66
5351,Billion 350,Toys,BrandE,4752.0
5352,Ask 351,Sports,BrandA,728.59
5353,Interesting 352,Toys,BrandD,3682.72
5354,Should 353,Clothing,BrandC,3179.58
5355,Group 354,Toys,BrandC,2938.84
5356,Such 355,Electronics,BrandG,1981.1
5357,Training 356,Clothing,BrandG,1807.9
5358,Boy 357,Electronics,BrandF,273.98
5359,Energy 358,Beauty,BrandC,1128.65
5360,Dark 359,Home,BrandE,125.13
5361,Customer 360,Toys,BrandB,2928.01
5362,Not 361,Home,BrandD,573.97
5363,List 362,Home,BrandG,4371.45
5364,Challenge 363,Toys,BrandE,2639.56
5365,Knowledge 364,Clothing,BrandD,3513.47
5366,Cover 365,Beauty,BrandD,2083.74
5367,Family 366,Electronics,BrandB,2824.87
5368,Maintain 367,Sports,BrandF,4716.16
5369,Enjoy 368,Electronics,BrandC,459.53
5370,Two 369,Sports,BrandB,1306.99
5371,Wind 370,Electronics,BrandE,3910.94
5372,Bag 371,Toys,BrandF,538.75
5373,Level 372,Beauty,BrandE,424.52
5374,System 373,Sports,BrandF,1839.63
5375,Training 374,Grocery,BrandG,506.23
5376,Total 375,Clothing,BrandE,2946.14
5377,Oil 376,Electronics,BrandB,1170.06
5378,Billion 377,Electronics,BrandF,4483.7
5379,Apply 378,Sports,BrandF,3928.33
5380,Reach 379,Clothing,BrandD,3513.54
5381,Now 380,Clothing,BrandD,3103.87
5382,Think 381,Toys,BrandA,4324.16
5383,Administration 382,Grocery,BrandE,1154.16
5384,Better 383,Toys,BrandD,4371.89
5385,With 384,Toys,BrandA,3957.99
5386,Some 385,Toys,BrandG,3753.4
5387,Time 386,Toys,BrandG,2828.22
5388,Economic 387,Toys,BrandD,1268.91
5389,Compare 388,Beauty,BrandE,2146.56
5390,Investment 389,Clothing,BrandF,3978.17
5391,Mention 390,Toys,BrandC,207.3
5392,Medical 391,Clothing,BrandE,3921.15
5393,Different 392,Clothing,BrandB,1238.35
5394,Treatment 393,Home,BrandG,764.33
5395,Institution 394,Beauty,BrandD,622.72
5396,Weight 395,Toys,BrandD,184.89
5397,Artist 396,Electronics,BrandF,2641.75
5398,Community 397,Sports,BrandB,1130.39
5399,Hundred 398,Grocery,BrandF,4947.69
5400,Able 399,Electronics,BrandB,2893.46
5401,In 400,Beauty,BrandC,732.53
5402,Evidence 401,Sports,BrandG,3459.37
5403,With 402,Beauty,BrandD,4493.83
5404,Step 403,Clothing,BrandD,3738.64
5405,Still 404,Sports,BrandC,428.38
5406,Look 405,Clothing,BrandA,4484.63
5407,Feeling 406,Electronics,BrandG,3979.95
5408,Land 407,Electronics,BrandF,833.6
5409,Same 408,Sports,BrandC,306.34
5410,Side 409,Sports,BrandF,2808.69
5411,Step 410,Toys,BrandE,822.38
5412,Only 411,Beauty,BrandD,4181.23
5413,Recently 412,Toys,BrandF,1823.76
5414,Serious 413,Beauty,BrandB,4568.82
5415,Message 414,Toys,BrandF,2850.16
5416,Clear 415,Clothing,BrandE,954.23
5417,Customer 416,Sports,BrandG,741.01
5418,Fine 417,Electronics,BrandD,2903.54
5419,Director 418,Beauty,BrandC,3821.32
