sale_id,order_id,customer_id,product_id,quantity,unit_price,discount,order_date,total_amount
1,177164,11363,5150,4,2551.85,0,2023-04-08,10207.4
2,131092,16832,6512,3,1392.46,0,2022-01-25,4177.38
3,175687,17588,5421,5,1238.13,5,2021-06-25,5881.12
4,130057,17216,6283,2,566.54,0,2021-04-16,1133.08
5,188624,15021,5625,1,778.83,0,2022-08-15,778.83
6,138959,16264,6830,5,834.29,0,2023-07-03,4171.45
7,105765,15033,7473,4,1229.28,0,2023-08-13,4917.12
8,124813,13928,7342,4,1512.5,0,2023-08-11,6050.0
9,135807,12432,5886,4,2971.07,20,2023-05-11,9507.42
10,148509,14425,5162,4,1644.13,0,2021-05-07,6576.52
11,157732,13616,5523,2,1412.09,0,2023-04-04,2824.18
12,127982,12920,6231,3,1926.39,0,2021-08-22,5779.17
13,190796,14861,7318,5,2271.6,0,2022-10-29,11358.0
14,185903,10773,7385,2,2938.6,10,2023-07-20,5289.48
15,165391,16229,6436,2,2994.32,5,2021-05-17,5689.21
16,181552,12065,7620,2,2585.46,10,2022-07-10,4653.83
17,149338,15656,5546,2,146.78,15,2023-01-29,249.53
18,148247,14480,7409,2,144.94,0,2021-02-25,289.88
19,127319,15744,7795,2,982.87,0,2021-12-22,1965.74
20,168964,16226,6336,2,2606.26,5,2023-07-12,4951.89
21,126986,13926,6872,3,2288.81,0,2023-03-24,6866.43
22,127810,15638,6034,3,1895.42,0,2023-12-23,5686.26
23,130727,12844,5216,2,594.54,0,2023-12-23,1189.08
24,188674,16250,5844,4,2914.97,0,2023-03-17,11659.88
25,165379,11684,7239,1,2697.86,0,2023-11-19,2697.86
26,196282,17033,7267,2,2741.67,5,2022-08-23,5209.17
27,186989,17888,6433,5,1533.09,0,2022-07-22,7665.45
28,119318,10147,6405,5,1116.29,0,2022-12-06,5581.45
29,162422,13080,6241,2,1918.66,15,2022-09-04,3261.72
30,120755,16418,6824,3,1975.77,0,2021-05-21,5927.31
31,178648,13877,5106,5,2783.53,0,2022-07-15,13917.65
32,148069,11725,7104,3,1723.09,5,2022-05-14,4910.81
33,148599,13757,6516,1,2638.74,0,2022-09-19,2638.74
34,172470,12559,5602,4,960.07,0,2022-05-17,3840.28
35,187907,10735,6035,3,146.63,10,2023-01-11,395.9
36,106859,14134,7485,5,1320.36,5,2023-02-03,6271.71
37,153121,17682,6638,1,615.66,20,2022-11-06,492.53
38,128570,16071,7848,4,2338.59,5,2021-02-18,8886.64
39,181567,17392,7747,3,2418.23,0,2022-09-19,7254.69
40,129148,10571,5414,4,2353.48,0,2022-11-11,9413.92
41,176977,13659,5231,1,1399.21,0,2021-10-04,1399.21
42,102751,13205,7185,1,2680.75,5,2021-02-16,2546.71
43,183495,17530,6547,2,1347.8,0,2023-07-15,2695.6
44,106503,13293,7449,2,1807.78,10,2021-08-04,3254.0
